nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl,,,,,,,,,,,,,,,,,,,
18590000,49.3836,45.6059,350.1540453,0.097349231,6.133621388,0.066842534,67,,,,,,,,,,,,,,,,,,
18580000,49.3647,45.604,350.1418232,0.098279729,6.235419367,0.066980995,68,,,,,,,,,,,,,,,,,,
18580000,49.3686,45.6058,350.1101676,0.095180181,6.329078793,0.066061448,69,,,,,,,,,,,,,,,,,,
18580000,49.3591,45.598,350.0662177,0.089193937,6.44217641,0.066524253,70,,,,,,,,,,,,,,,,,,
18590000,49.3481,45.5796,350.03654,0.080313756,6.501297195,0.066198733,71,,,,,,,,,,,,,,,,,,
18630000,49.3512,45.576,350.0542235,0.074395656,6.542594449,0.065337014,72,,,,,,,,,,,,,,,,,,
18590000,49.3411,45.5569,350.0997741,0.071216742,6.614466365,0.064613394,73,,,,,,,,,,,,,,,,,,
18580000,49.3474,45.549,350.1356474,0.069202172,6.601503529,0.065471041,74,,,,,,,,,,,,,,,,,,
18590000,49.3334,45.5475,350.1718025,0.066794751,6.600004585,0.065942715,75,,,,,,,,,,,,,,,,,,
18590000,49.3338,45.5678,350.1990348,0.062292851,6.594125279,0.065666244,76,,,,,,,,,,,,,,,,,,
18610000,49.3501,45.5887,350.2323504,0.059448688,6.611635747,0.066419276,77,,,,,,,,,,,,,,,,,,
18600000,49.3484,45.6056,350.2499624,0.055486968,6.620344223,0.067904163,78,,,,,,,,,,,,,,,,,,
18600000,49.3732,45.6052,350.2625182,0.053069412,6.702248627,0.070563801,79,,,,,,,,,,,,,,,,,,
18600000,49.3827,45.6103,350.2807021,0.050151584,6.729342624,0.07140181,80,,,,,,,,,,,,,,,,,,
18600000,49.388,45.612,350.2896781,0.04670009,6.755953997,0.071769774,81,,,,,,,,,,,,,,,,,,
18610000,49.3784,45.61,350.2995552,0.044855113,6.827751976,0.072354932,82,,,,,,,,,,,,,,,,,,
18640000,49.3876,45.6146,350.2881485,0.043034027,6.886615385,0.073204253,83,,,,,,,,,,,,,,,,,,
18630000,49.3827,45.6126,350.2698609,0.041180362,6.954330287,0.07370914,84,,,,,,,,,,,,,,,,,,
18610000,49.4017,45.6135,350.2533528,0.03390914,6.977644827,0.074042715,85,,,,,,,,,,,,,,,,,,
18650000,49.4079,45.6127,350.2603594,0.032072217,7.03668181,0.074716018,86,,,,,,,,,,,,,,,,,,
18640000,49.4035,45.6093,350.2654424,0.033993394,7.122049563,0.074555294,87,,,,,,,,,,,,,,,,,,
18640000,49.3987,45.6098,350.2885642,0.038791312,7.15039089,0.074268778,88,,,,,,,,,,,,,,,,,,
18650000,49.4125,45.6065,350.2847986,0.046642172,7.205635294,0.072295656,89,,,,,,,,,,,,,,,,,,
18650000,49.4389,45.6062,350.278176,0.049351403,7.214385128,0.070563167,90,,,,,,,,,,,,,,,,,,
18650000,49.4372,45.6088,350.3006471,0.055147602,7.255063198,0.070324615,91,,,,,,,,,,,,,,,,,,
18650000,49.4215,45.6121,350.3178359,0.06437991,7.259581357,0.07138543,92,,,,,,,,,,,,,,,,,,
18640000,49.4281,45.612,350.3291592,0.075338914,7.291642232,0.072284887,93,,,,,,,,,,,,,,,,,,
