nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl
18800000,49.8642,46.0429,350.2074111,0.183154932,2.63,0.05933086
18800000,49.9088,46.0798,350.1682719,0.181559276,2.64,0.061253665
18800000,49.9033,46.1039,350.1094548,0.177302624,2.65,0.063050588
18840000,49.9478,46.1031,350.0336171,0.173968416,2.66,0.064336561
18850000,49.9595,46.1058,349.9591009,0.170088235,2.67,0.065250498
18810000,49.9725,46.1151,349.9159966,0.171246787,2.68,0.064918733
18800000,50.0003,46.1395,349.8779627,0.178757828,2.69,0.06404905
18800000,50.0011,46.2006,349.8779543,0.181437919,2.7,0.062648416
18800000,49.9652,46.2124,349.8618545,0.179616018,2.71,0.05983448
18800000,50.0373,46.2141,349.8618905,0.175964072,2.72,0.058347421
18800000,50.0675,46.2153,349.8541942,0.174751674,2.73,0.057291855
18820000,50.0761,46.2184,349.8707055,0.170542353,2.74,0.057041719
18870000,50.0759,46.2226,349.8860216,0.166761991,2.75,0.056840271
18870000,50.0763,46.2359,349.888742,0.160203439,2.76,0.056252127
18870000,50.0771,46.2605,349.8541185,0.163197014,2.77,0.055847149
18920000,50.0821,46.2963,349.8335472,0.172112851,2.78,0.054198371
18900000,50.1228,46.3175,349.8154169,0.184202624,2.79,0.053047149
18920000,50.0874,46.321,349.8126031,0.195653122,2.8,0.052226968
18910000,50.1118,46.3193,349.8301984,0.203882443,2.81,0.052126154
18860000,50.1598,46.3222,349.8599671,0.207001629,2.82,0.04959629
18890000,50.165,46.3224,349.8659176,0.211138824,2.83,0.04994362
18960000,50.1622,46.3262,349.8877148,0.206207873,2.84,0.050612127
18980000,50.1435,46.3293,349.9242579,0.198032308,2.85,0.050813394
18970000,50.1451,46.3288,349.9327274,0.192805701,2.86,0.052079186
18920000,50.1444,46.3266,349.9030851,0.186704525,2.87,0.052904163
18920000,50.1709,46.3241,349.8825957,0.178977466,2.88,0.054202805
18850000,50.184,46.3257,349.8783048,0.178725068,2.89,0.055525882
18850000,50.2007,46.3281,349.8177977,0.178946154,2.9,0.055751222
18910000,50.1968,46.3251,349.7496064,0.187421629,2.91,0.055110407
18900000,50.1806,46.3243,349.7444156,0.196862805,2.92,0.053970498
18890000,50.1973,46.3267,349.7598357,0.206640633,2.93,0.051711674
18890000,50.2232,46.335,349.8106077,0.218466335,2.94,0.050024977
18900000,50.199,46.3864,349.9005469,0.2248181,2.95,0.048899367
18900000,50.2335,46.4074,349.9488052,0.226432941,2.96,0.047039005
18920000,50.2483,46.4104,349.957315,0.227028235,2.97,0.046769683
18920000,50.2789,46.4177,349.9938987,0.214139276,2.98,0.045465882
18910000,50.2743,46.4137,350.0049204,0.205369502,2.99,0.044649593
18920000,50.2927,46.4198,349.9765192,0.193482534,3,0.044062081
18970000,50.3155,46.4246,349.9555757,0.184317195,1.83612371,0.04509276
18960000,50.3155,46.4467,349.9084938,0.177700814,1.794323891,0.049418462
18960000,50.3559,46.5073,349.8641144,0.178083077,1.788009231,0.052943891
18960000,50.3625,46.5192,349.7929682,0.175448778,1.786905611,0.058185701
18950000,50.3725,46.5197,349.7628186,0.176303167,1.750969502,0.063599729
18960000,50.4003,46.5233,349.7819695,0.177571131,1.71059629,0.068994208
18960000,50.4094,46.5251,349.7845743,0.17870724,1.704809502,0.07372
18960000,50.4266,46.5253,349.8491662,0.178469955,1.681655113,0.078479457
19000000,50.4372,46.5288,349.9401956,0.174254299,1.659059819,0.083043348
19000000,50.4426,46.4867,349.9690776,0.170181267,1.658134118,0.087065611
19020000,50.3757,46.4146,349.976766,0.16169095,1.628383529,0.089291493
19020000,50.3116,46.4157,350.0254989,0.14140181,1.573379819,0.089058733
19020000,50.3129,46.4148,350.0648073,0.135257466,1.589175294,0.08875095
19030000,50.3197,46.42,350.1121386,0.130260271,1.581760271,0.086554118
19030000,50.2737,46.4161,350.1442505,0.129451131,1.615817104,0.085130588
18990000,50.2785,46.411,350.1009998,0.124529593,1.622384796,0.084407783
19010000,50.2936,46.3996,350.0644441,0.130815204,1.644422715,0.082635837
18980000,50.2709,46.3874,350.0590005,0.137243439,1.668191674,0.082677285
18980000,50.2645,46.3538,350.0222856,0.146690226,1.713148507,0.0819419
18980000,50.2629,46.3431,349.947722,0.159815475,1.700577647,0.0811019
18950000,50.2394,46.336,349.9054186,0.170414751,1.74392733,0.081585249
18940000,50.2438,46.3301,349.8910437,0.179750045,1.771489502,0.080855928
18910000,50.2494,46.3292,349.8506075,0.186888959,1.760506968,0.081038552
18920000,50.2183,46.3277,349.7865809,0.192519548,1.759367602,0.080906244
